alpha_0,alpha_1,benchmarks,beta_0,beta_1,condition,converged,delta_0,delta_1,detected_cycle_length,distance_to_monopoly_price,distance_to_nash_price,eval_periods,final_avg_price_oracle,final_avg_price_victim,final_avg_profit_oracle,final_avg_profit_victim,final_market_price_mean,final_profit_asymmetry,final_profit_gain_oracle,final_profit_gain_victim,m,market_config,max_periods,periods_to_convergence,seed,out_dir
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,2,0.3132148344242214,0.1388394245624276,10000,1.6020811449903356,1.6214510241962874,0.2792673238170523,0.25795305458357826,1.6117660845933115,0.02131426923347407,0.5037126499985773,0.32193709313040836,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",100000,100000,0,C:\Users\я\Documents\RLpricewars\results\long_matrix_100k_plus\block2_tabular_heterogeneity_100k\alpha_o0.03_v0.15\seed_0
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,4,0.3471034048451307,0.10495085414151828,10000,1.5633452613295635,1.5924097670152408,0.2722440143844105,0.25443787922371053,1.5778775141724022,0.017806135160699954,0.44381540608223746,0.29195844589038406,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",100000,100000,1,C:\Users\я\Documents\RLpricewars\results\long_matrix_100k_plus\block2_tabular_heterogeneity_100k\alpha_o0.03_v0.15\seed_1
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,2,0.361649219315733,0.09040503967091595,10000,1.6214510241961457,1.505212375207454,0.21997648159774516,0.2824931525445712,1.5633316997017999,-0.06251667094682603,-0.0019404288633072648,0.5312236477664565,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",100000,100000,2,C:\Users\я\Documents\RLpricewars\results\long_matrix_100k_plus\block2_tabular_heterogeneity_100k\alpha_o0.03_v0.15\seed_2
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,1,0.38097453888736243,0.07107972009928654,10000,1.5439792568746313,1.5440335033857098,0.2517077956620559,0.25166974811129866,1.5440063801301704,3.804755075725863e-05,0.26867533661366444,0.26835085376836426,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",100000,100000,3,C:\Users\я\Documents\RLpricewars\results\long_matrix_100k_plus\block2_tabular_heterogeneity_100k\alpha_o0.03_v0.15\seed_3
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,4,0.3858605996352631,0.06619365935138588,10000,1.5730243888062942,1.5052162499582453,0.22931726290943638,0.2644358109208959,1.5391203193822698,-0.03511854801145953,0.07772102731506664,0.3772243108317725,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",100000,100000,4,C:\Users\я\Documents\RLpricewars\results\long_matrix_100k_plus\block2_tabular_heterogeneity_100k\alpha_o0.03_v0.15\seed_4
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,4,0.32289008715018985,0.12916417183645912,10000,1.602085019741127,1.6020966439935589,0.2707869117836324,0.25767058778799895,1.602090831867343,0.01311632399563345,0.43138872451182164,0.3195281173170337,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",100000,100000,5,C:\Users\я\Documents\RLpricewars\results\long_matrix_100k_plus\block2_tabular_heterogeneity_100k\alpha_o0.03_v0.15\seed_5
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,5,0.3732676595634947,0.07878659942315425,10000,1.5672122626193283,1.5362142562887482,0.24470615511467766,0.25856273245838357,1.5517132594540382,-0.013856577343705906,0.20896289254396036,0.32713663968717643,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",100000,100000,6,C:\Users\я\Documents\RLpricewars\results\long_matrix_100k_plus\block2_tabular_heterogeneity_100k\alpha_o0.03_v0.15\seed_6
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,4,0.3519565302112295,0.10009772877541945,10000,1.5536506348496817,1.592398142762925,0.2734262176696721,0.24748366471688363,1.5730243888063034,0.025942552952788495,0.45389764996101517,0.2326504677133101,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",100000,100000,7,C:\Users\я\Documents\RLpricewars\results\long_matrix_100k_plus\block2_tabular_heterogeneity_100k\alpha_o0.03_v0.15\seed_7
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,4,0.41004291932368764,0.04201133966296133,10000,1.5439831316253811,1.4858928677623096,0.2246528547185082,0.2504258452544328,1.5149379996938452,-0.025772990535924578,0.03794131978304258,0.2577424143224745,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",100000,100000,8,C:\Users\я\Documents\RLpricewars\results\long_matrix_100k_plus\block2_tabular_heterogeneity_100k\alpha_o0.03_v0.15\seed_8
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,1,0.36164340718955046,0.09041085179709851,10000,1.5827112657844986,1.5439637578714662,0.2473252430113931,0.2695853642803742,1.5633375118279824,-0.02226012126898111,0.23129939189550452,0.42114150636346037,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",100000,100000,9,C:\Users\я\Documents\RLpricewars\results\long_matrix_100k_plus\block2_tabular_heterogeneity_100k\alpha_o0.03_v0.15\seed_9
