step,oracle_epsilon,victim_epsilon,avg_profit_oracle,avg_profit_victim,profit_asymmetry,avg_price_oracle,avg_price_victim,loss,dqn_loss,jepa_loss,regret_loss,total_loss,q_mean,q_max,entropy,avg_positive_regret,avg_regret_abs,avg_strategy_entropy,avg_value,lola_immediate_value,lola_future_value,lola_total_value,lola_entropy,model_lola_value,model_lola_value_std,model_lola_entropy,model_lola_immediate_value,model_lola_future_value,model_lola_total_value,model_lola_current_victim_entropy,model_lola_future_victim_entropy,rollout_lola_value_mean,rollout_lola_value_std,rollout_lola_entropy,rollout_lola_best_action_price,rollout_lola_first_step_profit,rollout_lola_future_profit,rollout_lola_victim_price_simulated,rollout_lola_oracle_price_simulated,victim_pred_accuracy
1000,0.9904905,0.9980046600087905,0.28052418064768425,0.2794605462804902,0.0010636343671940266,1.6981473548784851,1.6995107831023633,0.0,,,,0.0,0.0,0.0,2.1078204888105394,0.03616631378744591,0.07343239573322353,2.1078204888105394,0.0,,,,,,,,,,,,,,,,,,,,,
2000,0.9714905000000001,0.9940206147712892,0.280445171006606,0.2784714430180611,0.0019737279885448517,1.695394465604797,1.6986758949011564,0.0,,,,0.0,0.0,0.0,2.0384306275844573,0.10047568455711008,0.20441069681942464,2.0384306275844573,0.0,,,,,,,,,,,,,,,,,,,,,
3000,0.9524905000000001,0.9900524738848302,0.28046642151789275,0.27790875210182275,0.0025576694160699843,1.6935739381872117,1.697233155671507,0.0,,,,0.0,0.0,0.0,2.069356376886368,0.16273904345929624,0.3332304541915655,2.069356376886368,0.0,,,,,,,,,,,,,,,,,,,,,
4000,0.9334905,0.9861001738590744,0.281124575513415,0.27631892322131896,0.004805652292096056,1.6900430711377412,1.697101777113974,0.0,,,,0.0,0.0,0.0,2.0823322837352753,0.22248750104010104,0.460728068202734,2.0823322837352753,0.0,,,,,,,,,,,,,,,,,,,,,
5000,0.9144905000000001,0.9821636514571371,0.28135851727053524,0.27647117537027227,0.004887341900262981,1.689902611238882,1.697146579064429,0.0,,,,0.0,0.0,0.0,2.0886204948425293,0.28218344147503377,0.589251956909895,2.0886204948425293,0.0,,,,,,,,,,,,,,,,,,,,,
6000,0.8954905,0.9782428436945758,0.2810934786737198,0.2755569459705148,0.005536532703205012,1.687168490447104,1.6954198930896818,0.0,,,,0.0,0.0,0.0,2.092110112190247,0.34258520328998565,0.7195327134132385,2.092110112190247,0.0,,,,,,,,,,,,,,,,,,,,,
7000,0.8764905000000001,0.974337687838383,0.28155291904939805,0.2748828111536568,0.006670107895741239,1.6851778368409722,1.6950215200707317,0.0,,,,0.0,0.0,0.0,2.0905083990097046,0.39757958421111106,0.84680759370327,2.0905083990097046,0.0,,,,,,,,,,,,,,,,,,,,,
8000,0.8574905,0.9704481214059815,0.2819189178160159,0.27398147166962733,0.007937446146388537,1.6827706479132176,1.6947866131979972,0.0,,,,0.0,0.0,0.0,2.090963616371155,0.4551031979620457,0.9775939202308654,2.090963616371155,0.0,,,,,,,,,,,,,,,,,,,,,
9000,0.8384905,0.9665740821642254,0.2823122927923687,0.2723390588824404,0.00997323390992824,1.6793269633315504,1.69405404311046,0.0,,,,0.0,0.0,0.0,2.0897112565040588,0.5122133568525314,1.109930762887001,2.0897112565040588,0.0,,,,,,,,,,,,,,,,,,,,,
10000,0.8194905,0.962715508128404,0.28296194158424626,0.27225119292212185,0.010710748662124387,1.6791108246482909,1.6947169891037046,0.0,,,,0.0,0.0,0.0,2.0868282301425936,0.5650502324402332,1.240769006729126,2.0868282301425936,0.0,,,,,,,,,,,,,,,,,,,,,
11000,0.8004904999999999,0.9588723375612509,0.2838038237991277,0.2706079256142257,0.013195898184902034,1.6756211271435022,1.6954023351799696,0.0,,,,0.0,0.0,0.0,2.0849934720993044,0.6192710651755333,1.37261316716671,2.0849934720993044,0.0,,,,,,,,,,,,,,,,,,,,,
12000,0.7814904999999999,0.9550445089719546,0.28338228084600997,0.2700396549247671,0.01334262592124287,1.673000221312046,1.6927693208213896,0.0,,,,0.0,0.0,0.0,2.0822343275547026,0.6724491388201713,1.5073465799093246,2.0822343275547026,0.0,,,,,,,,,,,,,,,,,,,,,
13000,0.7624905,0.951231961115176,0.2840198866957799,0.26936697860993447,0.014652908085845412,1.6717609065268189,1.693420157821849,0.0,,,,0.0,0.0,0.0,2.0792852828502655,0.7244738217592239,1.6430010552406311,2.0792852828502655,0.0,,,,,,,,,,,,,,,,,,,,,
14000,0.7434904999999999,0.9474346329900684,0.28446848529868296,0.26862254660890905,0.0158459386897739,1.6694554295744748,1.6930248123612255,0.0,,,,0.0,0.0,0.0,2.0759794051647185,0.7762168433666229,1.7808227884769439,2.0759794051647185,0.0,,,,,,,,,,,,,,,,,,,,,
15000,0.7244905,0.9436524638393006,0.28486311469133946,0.26765847657772246,0.017204638113616964,1.6670997020099312,1.6925955623686313,0.0,,,,0.0,0.0,0.0,2.0727237622737884,0.8280350613594055,1.9213232983350754,2.0727237622737884,0.0,,,,,,,,,,,,,,,,,,,,,
16000,0.7054905,0.9398853931480853,0.2854424219483044,0.2664302202129038,0.019012201735400594,1.6647361037191004,1.6928135174624621,0.0,,,,0.0,0.0,0.0,2.0695018103122713,0.8774846868515015,2.0600302411317823,2.0695018103122713,0.0,,,,,,,,,,,,,,,,,,,,,
