alpha_0,alpha_1,benchmarks,beta_0,beta_1,condition,converged,delta_0,delta_1,detected_cycle_length,distance_to_monopoly_price,distance_to_nash_price,eval_periods,final_avg_price_oracle,final_avg_price_victim,final_avg_profit_oracle,final_avg_profit_victim,final_market_price_mean,final_profit_asymmetry,final_profit_gain_oracle,final_profit_gain_victim,m,market_config,max_periods,periods_to_convergence,seed,out_dir
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,2,0.1388452366906019,0.3132090222960471,100000,1.7570750513908469,1.8151963132630151,0.3229878521197087,0.2951728817119659,1.786135682326931,0.027814970407742834,0.8765766357037327,0.6393608212765359,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",10000000,10000000,0,C:\Users\я\Documents\RLpricewars\results\long_matrix_10m_plus\block2_tabular_heterogeneity_10m_100seeds\alpha_o0.03_v0.15\seed_0
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,1,0.3035221453155206,0.1485321136711284,100000,1.6214587737020123,1.6214587737020123,0.27993741575461767,0.27993741575461767,1.6214587737020123,0.0,0.5094274288525722,0.5094274288525722,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",10000000,10000000,1,C:\Users\я\Documents\RLpricewars\results\long_matrix_10m_plus\block2_tabular_heterogeneity_10m_100seeds\alpha_o0.03_v0.15\seed_1
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,1,0.3035221453155206,0.1485321136711284,100000,1.6214587737020123,1.6214587737020123,0.27993741575461767,0.27993741575461767,1.6214587737020123,0.0,0.5094274288525722,0.5094274288525722,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",10000000,10000000,2,C:\Users\я\Documents\RLpricewars\results\long_matrix_10m_plus\block2_tabular_heterogeneity_10m_100seeds\alpha_o0.03_v0.15\seed_2
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,1,0.14853211366673125,0.3035221453199177,100000,1.7764488053508016,1.7764488053508016,0.32232067662057773,0.32232067662057773,1.7764488053508016,0.0,0.8708867292586706,0.8708867292586706,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",10000000,10000000,3,C:\Users\я\Documents\RLpricewars\results\long_matrix_10m_plus\block2_tabular_heterogeneity_10m_100seeds\alpha_o0.03_v0.15\seed_3
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,7,0.17620693998061832,0.27584731900603066,100000,1.7100274398108537,1.7875205182629754,0.32465761658221004,0.2760549145126287,1.7487739790369146,0.04860270206958134,0.8908169721508851,0.4763160977732251,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",10000000,10000000,4,C:\Users\я\Documents\RLpricewars\results\long_matrix_10m_plus\block2_tabular_heterogeneity_10m_100seeds\alpha_o0.03_v0.15\seed_4
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,2,0.25508776042829284,0.19696649855835613,100000,1.67958003556611,1.6602062816123702,0.28742076629482644,0.3006939262264344,1.66989315858924,-0.013273159931607992,0.5732480645396651,0.6864462235541486,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",10000000,10000000,5,C:\Users\я\Documents\RLpricewars\results\long_matrix_10m_plus\block2_tabular_heterogeneity_10m_100seeds\alpha_o0.03_v0.15\seed_5
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,2,0.1969664985591173,0.2550877604275317,100000,1.6989537895224467,1.7570750513943842,0.33393638382222873,0.28652875468012357,1.7280144204584156,0.04740762914210517,0.9699495505953588,0.5656406769150011,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",10000000,10000000,6,C:\Users\я\Documents\RLpricewars\results\long_matrix_10m_plus\block2_tabular_heterogeneity_10m_100seeds\alpha_o0.03_v0.15\seed_6
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,1,0.2841483913616898,0.16790586762495918,100000,1.6214587737020123,1.660206281609674,0.29929402987890524,0.2723040287794014,1.640832527655843,0.026990001099503835,0.6745074169573833,0.44432722987267964,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",10000000,10000000,7,C:\Users\я\Documents\RLpricewars\results\long_matrix_10m_plus\block2_tabular_heterogeneity_10m_100seeds\alpha_o0.03_v0.15\seed_7
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,1,0.18727962158090872,0.26477463740574025,100000,1.6989537895224467,1.7764488053508016,0.34373683771726393,0.2800707849008614,1.7377012974366242,0.06366605281640253,1.053531255640776,0.5105648476663223,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",10000000,10000000,8,C:\Users\я\Documents\RLpricewars\results\long_matrix_10m_plus\block2_tabular_heterogeneity_10m_100seeds\alpha_o0.03_v0.15\seed_8
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,1,0.2260271294950862,0.22602712949156278,100000,1.6989537895224467,1.6989537895224467,0.30390135609904484,0.30390135609904484,1.6989537895224467,0.0,0.713800309440129,0.713800309440129,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",10000000,10000000,9,C:\Users\я\Documents\RLpricewars\results\long_matrix_10m_plus\block2_tabular_heterogeneity_10m_100seeds\alpha_o0.03_v0.15\seed_9
